Role,Key Skills
Software Engineer,Data Structures; Algorithms; OOP; Git; Debugging; System Design
Frontend Developer,HTML; CSS; JavaScript; React; Responsive Design; Web Performance
Backend Developer,Java/Python/Node.js; APIs; Databases; Authentication; Microservices
Full Stack Developer,Frontend Frameworks; Backend Development; REST APIs; Databases; Git
Data Scientist,Python; Statistics; Machine Learning; Pandas; Data Visualization
Machine Learning Engineer,Python; TensorFlow/PyTorch; Feature Engineering; Model Deployment
AI Engineer,Deep Learning; NLP; Computer Vision; Model Optimization; Python
DevOps Engineer,CI/CD; Docker; Kubernetes; AWS/Azure; Monitoring; Linux
Cloud Engineer,AWS/Azure/GCP; Networking; Security; Infrastructure as Code
Cloud Architect,Cloud Governance; Cost Optimization; Scalability; Multi-cloud Strategy
Cybersecurity Analyst,Network Security; Penetration Testing; SIEM; Incident Response
Security Engineer,Cryptography; IAM; Cloud Security; Threat Modeling; Vulnerability Assessment
Mobile App Developer,Java/Kotlin/Swift; Android/iOS SDK; REST APIs; UI/UX
Android Developer,Java/Kotlin; Android Studio; XML UI; Firebase; API Integration
iOS Developer,Swift; Xcode; UIKit; REST APIs; App Store Deployment
React Native Developer,JavaScript; React Native; Redux; Mobile Performance; Cross-platform APIs
Flutter Developer,Dart; Flutter SDK; State Management; UI Design; API Integration
Database Administrator,SQL; Database Optimization; Backup & Recovery; Security
Data Engineer,ETL; SQL; Python; Spark; Data Pipelines; Data Warehousing
Big Data Engineer,Hadoop; Spark; NoSQL; Distributed Computing; Kafka
Business Intelligence Analyst,SQL; Power BI/Tableau; Data Modeling; Reporting
QA Engineer,Test Cases; Manual Testing; Automation Testing; Selenium; Bug Tracking
Automation Test Engineer,Selenium; TestNG/JUnit; CI/CD Integration; Scripting
SDET,Test Automation Frameworks; Performance Testing; API Testing; Unit Testing; Java/Python
Site Reliability Engineer,Monitoring; Incident Management; Kubernetes; Automation; Infrastructure
Platform Engineer,Internal Developer Platforms; Infrastructure as Code; Terraform; Helm; Cloud
Game Developer,Unity/Unreal; C# or C++; Game Physics; Graphics Programming
AR/VR Developer,Unity; 3D Modeling; C#; Spatial Computing
Game Designer,Mechanics Design; Level Design; Storyboarding; Prototyping; User Experience
Embedded Systems Engineer,C/C++; Microcontrollers; RTOS; Hardware Interfaces
Firmware Engineer,Low-level C; Assembly; Device Drivers; RTOS; Debugging
Blockchain Developer,Solidity; Smart Contracts; Ethereum; Web3; Cryptography
Smart Contract Auditor,Security Auditing; Solidity; Blockchain Architecture; Formal Verification
Network Engineer,Routing; Switching; TCP/IP; Firewalls; Network Monitoring
Network Architect,SDN; Network Design; Security Protocols; BGP/OSPF; MPLS
Systems Administrator,Linux/Windows Admin; Scripting; Networking; Security
Linux Administrator,Bash Scripting; Kernel Configuration; Server Monitoring; Security Hardening
Product Manager (Tech),Product Strategy; Agile; User Stories; Data Analysis
